cow ,days,TP,ALB,BUN,TCHO,GOT,GGT,Ca,IP,GLU,NH3,NEFA,BHB
1,-20,7.5,2.6,10.2,97,61,19,9.4,6.4,32,153,101,698
3,-21,6.6,3.2,4.6,116,41,3,9.7,6.6,50,85,315,909
5,-31,6.8,2.9,5.4,105,53,4,7.9,9.1,42,125,575,1345
6,-28,7.8,3.5,10.1,128,48,18,8.7,6.5,59,100,557,596
7,-17,7.5,2.7,8.5,96,39,9,8.6,6.1,53,112,213,407
7,-25,7.2,3,14.2,102,47,14,9.5,7.6,54,104,137,542.7
8,-17,6.7,2.9,3.1,127,65,5,8.1,7.9,59,119,0,0
9,-43,6.5,2.8,3.7,85,37,20,9,6.4,69,77,128,584.2
10,-13,7.4,3.6,4.1,81,72,8,9.1,5,39,153,127,390
11,-32,6.7,2.7,8.3,88,57,8,8.9,7.4,57,70,77,412
12,-12,7.7,3.1,2.7,131,64,4,8.5,8,0,115,140,408
13,-31,6.9,2.8,7.1,59,68,15,8.4,6.5,49,148,502,1036.9
14,-20,6.1,3,3.9,153,46,5,8.3,8.1,52,106,299,1073
15,-23,5.7,2.7,3.2,138,61,2,9,8.7,59,98,408,1380
16,-19,6,3,4.1,170,63,20,9.9,7.9,68,99,85,462.7
17,-46,6,3.3,6.6,130,60,18,9.5,10.3,71,76,89,562.1
18,-72,5.8,3,5.7,142,62,10,9.1,11,67,90,154,425.9
19,-57,5.8,2.8,6.6,107,54,16,8.9,8.6,68,108,110,359.1
20,-32,6.2,2.8,3.1,71,47,12,9.5,6.6,63,107,0,0
