global,cowid,days,TP,ALB,BUN,CHO,GOT,GGT,CA,IP,GLU,NH3,NEFA,BHB
1482211717,38,-60,6.3,3.4,11.7,69,64,17,10.3,5.6,79,101,131.4,438.9
864141871,59,-49,7.4,3.7,11.7,68,68,21,10.4,6.1,76,137,68.8,381
1458511810,64,-47,6.1,3.8,11.1,48,58,21,10,6.6,73,119,141.2,413.9
1511310022,35,-45,7.4,3.4,9.3,82,62,24,10.6,5.6,73,134,101.1,490.4
1501270497,54,-43,6.4,3.5,10.2,60,62,20,10.6,5.6,70,109,393,292
864142588,60,-42,6.4,3.3,13.1,49,62,20,10.2,8.2,74,140,111,394
864142632,57,-37,7.5,3.7,14,109,88,11,11.9,5.4,85,131,123,489
864207157,61,-37,6.4,3.5,13.5,65,53,20,10.7,4.6,72,127,157,419
1436725420,79,-35,6.4,3.5,12.9,66,54,22,10.5,7.4,68,127,122.5,446.8
1373724159,91,-34,7.3,3.9,12.5,78,72,19,11.4,3.3,81,149,112,501
1494659514,34,-31,6.5,3.5,9.5,76,52,19,10.5,7.1,73,124,137.5,549.9
1437612545,46,-31,6.4,3.3,10.1,67,105,16,10.1,4.5,72,130,158.4,406.1
1477034833,47,-31,7,3.6,10.9,70,62,21,10.4,6.5,60,124,84.7,568.5
1401416254,67,-28,6.3,3.5,11.1,68,56,13,10.2,6.1,71,104,95.1,455.2
1512209752,73,-27,6.8,3.8,11.6,53,73,14,10.5,5.7,72,98,211.2,405.1
1465611121,41,-26,6.2,3.5,12.5,83,65,16,10.8,5.9,69,111,196.7,383.1
1501556256,42,-26,6.9,3.4,11.5,55,73,27,10.2,6.3,72,128,146.8,488.6
1514410118,63,-24,6.9,3.8,12,93,71,22,11.6,4.7,85,126,105.8,468.6
864770057,62,-20,6.4,3.4,12.7,72,63,24,10.2,6.2,69,114,75,512
1461212865,87,-15,6.3,3.4,9.8,44,72,22,10.1,5.2,70,116,121.9,426.3
864142540,48,-15,6.9,3.8,12.8,49,66,15,10.4,5.7,77,133,154,524
1466606560,55,-10,6.1,3.6,12.1,84,68,22,10.4,6,66,122,124,537
1483811640,65,-10,5.6,3.6,9.9,48,58,23,10.4,6.2,73,91,226,532.7
1396615953,72,-9,6.1,3.5,10.4,46,65,13,10.3,4.8,70,104,268.1,508
1436725352,89,-9,6.1,3.6,10.3,46,69,22,10.3,6.1,70,120,123.9,502.2
1460912186,92,-6,6.3,3.5,9.5,63,68,14,10.2,5.7,70,104,326,587
