global,cowid,days,TP,ALB,BUN,CHO,GOT,GGT,CA,IP,GLU,NH3,NEFA,BHB
863934238,205,31,7.8,3.4,8,153,91,20,10.9,4.9,51,109,417,680.4
864770057,62,32,6.8,3.8,11.5,178,67,27,10.5,5,54,111,196,601.6
856563216,297,32,7.1,2.8,8.2,161,52,23,10,6.6,64,57,189,287.9
1399102221,44,33,7.4,3.6,10.5,211,81,26,10.5,5.8,52,97,374,1108.5
1461212865,87,37,6.9,3.6,10.4,165,76,25,10.4,4.9,54,135,608,648
864142540,48,37,7.3,3.8,8.6,159,85,23,10.4,5.5,58,150,1118,759.4
1483811640,65,42,7.1,3.9,8.8,236,78,45,11.5,4.8,63,145,816,543.8
1396615953,72,43,7.4,3.7,9,162,106,29,10.6,4.5,69,113,726,468
1432015518,281,43,7.4,3.5,12,230,85,44,10.5,5.9,59,55,309,518.5
864207157,61,50,7.5,3.3,8.4,153,69,31,11.4,5.5,56,137,206,280.2
1405617480,9,52,7.8,3.6,8.8,195,83,31,10.8,5.8,53,182,488,380.2
1482211717,38,55,8.1,3.7,18,298,98,25,11.4,5.3,62,139,237,572.4
1373724340,214,55,7.3,3.6,11.8,216,67,33,10.6,6.9,57,62,126,434.3
1406116319,22,56,7.2,3.4,9.7,178,69,37,9.9,7.4,56,132,164,570.4
1511626260,225,56,8,3.6,9.9,211,64,38,10.7,5.7,65,53,104,417.5
1436814124,5,60,7.7,3.2,10,166,88,25,12.1,4.4,71,127,171,547.5
1461711245,251,65,8.1,3.2,10.6,145,64,24,9.1,5.8,64,45,142,467.2
864141871,59,66,7.5,3.9,15.6,175,78,36,11.2,6.2,63,199,193,516.3
1513104438,43,67,7.9,3.9,16.7,162,86,37,11.5,6.2,60,148,149,362.2
1422815333,1,68,7.1,3.9,10.6,227,68,17,11.7,5.5,59,102,216,458.9
1458511810,64,68,7.6,3.5,14,181,63,43,10.1,7.1,58,135,244,397.6
1511310022,35,70,7.8,3.7,14,290,93,46,10.7,7.2,49,149,326,347.8
1501270497,54,72,7.2,3.7,20.7,187,85,32,10.8,5.6,54,116,391,446.3
864142588,60,73,7.7,3.6,13.1,186,73,34,10.6,7.9,50,152,267,334.7
1419604346,98,75,6.9,3.5,10.1,305,67,21,10.5,6.3,57,164,210,365.2
864142632,57,78,7.6,3.7,12.5,258,116,24,10.6,6.1,56,194,132,316
862968449,103,79,8,3.8,10.1,289,82,42,10.6,2.6,71,110,179,462.2
1436725420,79,80,7.1,3.6,17.9,208,97,41,10.4,6,61,145,366,417.9
1362628666,13,81,7.4,3.4,12.4,253,80,27,11,6.7,62,122,129,433.4
1373724159,91,81,7.4,3.8,13.3,225,97,38,10.5,4.9,58,187,297,258.5
863934320,203,82,7.7,3.4,8.6,255,122,47,10.9,5.8,71,119,237,491.9
1361557097,8,83,7.6,3.7,11.6,216,124,36,11.1,5.3,56,134,175,295.5
1465611121,7,83,9.2,3.7,12.5,228,93,52,10.2,5.2,38,170,530,415.6
1394819711,110,83,7.6,3.5,14.8,234,85,31,11,5.7,69,126,154,543.1
1437612545,46,84,7.2,3.5,14.4,202,83,48,11.1,5,55,185,280,508.9
1477034833,47,84,8.5,3.9,17,271,78,33,11.1,4.8,62,161,307,387.2
1494659514,34,84,7,3.5,12,246,77,36,11.7,7.5,51,191,126,429.4
1417215391,12,85,7.1,3.5,14.3,292,111,27,11.2,5,58,115,224,499.4
1405617480,9,87,8.4,3.4,10.4,179,75,31,10.4,5.6,61,161,293,328.5
1401416254,67,87,7.1,3.6,13.6,229,89,35,10.3,7.1,59,154,137,513.5
1373724289,84,88,7.3,3.7,14.8,269,99,38,11.3,5.4,54,144,159,507.6
1399917832,148,88,7.4,3.6,15.3,328,79,29,9.4,8,43,189,305,661.7
1512209752,73,88,7.5,4,16.3,221,100,32,11,5.5,64,144,295,351
1416600150,6,89,7.7,3.5,13.3,245,93,37,11.1,6.2,53,121,224,350.4
1394819674,50,89,7.3,3.9,15.8,284,119,45,11.6,6.4,49,158,216,598.3
1465611121,41,89,7.6,3.6,19.6,319,101,40,11.5,6.9,55,144,171,522.2
1501556256,42,89,8.1,3.6,13.9,156,98,52,10,4.6,62,222,456,308
1514410118,63,91,7,3.8,14,247,76,35,11.3,7.2,58,146,341,256.6
1361557226,11,92,8.7,3.7,7.5,303,90,30,11,4.4,59,207,599,288
1505910276,10,93,7.9,4.1,11,220,95,30,11.1,6.4,54,122,162,357.3
1438312420,2,94,7.4,3.7,13.2,247,82,40,11.3,7.5,48,114,166,462.2
864770057,62,95,7.3,3.7,16.2,264,80,38,11.3,6.2,59,137,166,389.3
1436814124,5,95,7,3.3,13,159,88,28,13.5,6.8,58,142,140,355.3
1449313898,112,97,7.5,3.3,10.5,227,90,43,10.3,5.1,62,128,164,244.5
1401416315,202,97,8.3,3.4,15.8,313,82,37,10.7,7.9,63,60,161,308.8
