global,cowid,days,TP,ALB,BUN,CHO,GOT,GGT,CA,IP,GLU,NH3,NEFA,BHB
1406116319,202,6,7.2,3.5,10.4,106,69,24,10.1,5,61,116,553,565.1
1511310022,35,7,7.1,3.5,7.9,87,88,32,10.4,5,57,140,365,614.9
1432015518,281,8,7.2,3.5,7.1,109,121,34,10,4.9,64,117,633,621.1
1476022893,115,9,7.6,3.3,7.5,122,92,45,10.3,5.2,64,175,940,539
864142588,60,10,6.9,3.2,6.2,68,97,27,10.5,4.9,58,163,672,485.6
1479310409,102,12,7.1,3.6,9.9,124,79,25,10.5,6.3,63,153,888,546.4
1536008650,182,13,6.6,3.3,5.4,86,78,17,10.1,3.6,49,114,509,743.8
864142632,57,15,7.8,3.4,7.8,152,88,19,11.4,5.6,65,123,357,382.3
1515507619,292,15,7.3,3.1,8.5,159,80,36,9.4,4.4,67,49,859,669.4
1433545564,39,16,8.3,3.3,6,129,66,32,10.2,5.1,62,147,504,602.3
1436725420,79,17,6.9,3.3,8.5,112,99,31,9.9,4.6,59,125,359,663.8
1449314062,162,17,7.3,3.5,5.9,145,81,18,10.8,5.8,49,154,585,544.1
1373724159,91,18,7,4,7.4,115,80,25,10.7,4,55,119,966,711.6
1384822363,159,18,7.4,3.6,9.6,168,84,29,10.3,4.3,48,167,659,701.6
1497107722,126,18,6.9,3.7,9.2,132,91,29,11.1,4.4,62,121,481,634.9
1498907871,211,19,7.6,3.3,10,113,61,24,9.8,3.9,50,116,432,571.8
1373724340,214,20,7.6,3.4,7.2,153,64,60,9.9,6.3,57,126,357,381.8
1432814463,133,20,7.4,3.7,10.3,159,72,31,11.4,5.1,60,142,542,442.7
1518908420,104,20,7.5,3.6,9.3,129,63,19,11.9,4.5,55,108,343,660
861077692,147,21,7.1,3.4,7.7,135,75,26,10.4,4.8,61,121,454,702.6
1477034833,47,21,8,3.6,10.1,163,78,24,10.5,5.8,56,159,371,495.7
1494659514,34,21,7,3.7,6.7,158,70,26,10.6,5.4,52,115,1108,942.5
1511626260,225,21,8.6,3.4,7.4,126,61,41,10.5,3.5,67,96,245,369.1
1512209752,73,25,7.7,3.8,10.4,104,85,24,10.7,5.5,62,112,815,465.9
1465611121,41,26,6.9,3.4,8.2,216,80,29,10.3,5.6,52,133,516,821.9
1501556256,42,26,7.9,3.7,8.2,139,85,35,10.5,4.9,61,149,375,435.1
1514410118,63,28,6.5,3.4,8.1,180,71,31,10.7,6.5,59,149,513,504.3
