cow ,days,TP,ALB,BUN,TCHO,GOT,GGT,Ca,IP,GLU,NH3,NEFA,BHB
1,1,8.7,2.8,11.4,112,89,17,10.8,10.8,0,179,118,625
2,26,7.9,2.7,8.3,96,62,27,9.4,6.7,69,142,64,540.7
3,0,7.3,3.5,3.7,125,57,8,8.8,5,107,91,379,515
4,77,7.8,3.4,6.2,96,45,20,10.4,5.8,74,82,53,366.1
5,11,7.3,2.9,5,62,51,8,8.7,5,72,123,553,328
6,14,7.7,3.5,6.3,120,74,31,9.4,5.6,67,104,65,567
7,4,8.4,3,20.2,96,51,4,10,7,0,154,82,357
8,42,7.9,3.8,7,118,59,63,9.7,6.5,72,110,31,286
9,21,7.7,3.5,5.5,92,76,21,10.5,5.2,76,81,152,479.6
10,8,8,3.7,9.6,92,69,7,10.2,5.6,0,165,161,349
11,10,6.5,2.7,6,96,88,19,7.7,7.1,67,100,77,568
12,9,7.9,3.2,6.6,122,52,4,8.2,7.9,66,94,145,202
13,33,7.2,3,10.8,102,50,18,10.1,10,79,146,98,576.2
14,1,6.1,3,3.3,151,80,19,8.5,9.4,73,89,120,388
15,19,6.4,3.1,4.1,193,77,1,9.5,5.7,70,131,0,0
16,3,6.5,3,10.7,156,46,22,9.4,7.9,66,64,0,0
19,34,7,3.2,5,95,43,14,9.5,7.7,61,138,0,0
